days_infectious_community,days_in_quar,days_in_extended_quar,days_in_isolation,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliant,FoI_max,integrated_FoI
10.1156044890713,14,0,0,0.1,6.89706495953533,7.41853952953602,6393,0,0,0,1,3.05189435729731,14.2645055846479
10.7882567365367,14,0,0,0.1,3.02767715980463,8.4605795767321,6393,0,0,0,1,0.0029000334123958,0.0122328048108509
5.11036701452184,4,0,9.99999999999998,0.1,9.46889755246653,9.74146946205528,11699,1,0,1,1,0.0231295755401511,0.0145635238691166
0.939468278281497,4,0,9.99999999999998,0.1,7.9161106870492,8.82335759123226,16884,1,0,1,1,1.95939082019899e-10,3.40964782208802e-12
2.78564224987744,4,4,9.99999999999998,0.1,8.34308202327478,8.64256022660262,17040,0,0,0,1,5.13806244817438e-10,9.32433173471072e-11
2.98839359426858,4,4,9.99999999999998,0.1,7.01318215299142,8.97521144127714,17503,0,0,0,1,0.285847795029067,0.0579302706712559
0.533000151072653,4,0,9.99999999999998,0.1,5.12041259988168,9.71258755119094,18819,1,0,1,1,0.00816962464694298,4.01661735056486e-05
1.65693921399547,14,0,0,0.1,3.07809253397636,7.1788466800191,19101,0,0,0,1,0.0594341056835414,0.00430561265903071
5.86778799904652,14,0,0,0.1,15.6500933328258,6.41769466622064,22000,1,0,1,1,0.00053312584309745,0.000921856262001864
2.25938057989747,4,0,9.99999999999998,0.1,11.5903562327855,9.96902434711201,23963,1,0,1,1,0.399416189246831,0.0386303553914997
2.85655923910996,4,4,9.99999999999998,0.1,8.40406395109417,9.35249528801575,26573,0,0,0,1,2.48544097936588e-11,4.33025601699946e-12
1.27853511328742,4,0,9.99999999999998,0.1,11.4699723527198,9.60856276056761,27790,1,0,1,1,0.0296955260481784,0.000894748301000448
0.806806190360184,4,14,0,0.1,3.50287855838557,9.80392763197459,30564,0,0,0,1,1.12696157223151e-08,1.28080421545969e-10
0.32023833515759,4,0,9.99999999999998,0.1,8.14978588306187,9.9704524520957,38635,1,0,1,1,0.182003777209962,0.000309990790725578
2.01760697058645,4,0,9.99999999999998,0.1,8.90779806267622,9.00980890791019,41818,1,0,1,1,1.96963301023325e-14,1.67764617864784e-15
3.78356424079969,4,0,9.99999999999998,0.1,11.7704343623922,9.51312987840746,43410,1,0,1,1,5.29814520972253e-06,1.70232400208858e-06
2.81155034400849,14,0,0,0.1,13.0171000894192,5.19445025458922,51787,1,0,1,1,1.44081842115381e-22,5.21597157184197e-23
1.03262172412527,2,4,9.99999999999998,0.1,7.98043945580143,8.6521822683238,52476,0,0,0,1,0.163945673992245,0.00354548721173287
5.20615298100225,14,0,0,0.1,5.11379016265063,9.89236281835159,52881,0,0,0,1,0.0158842983358713,0.0102348161536163
3.54665086380752,3,14,0,0.1,8.55634014955418,9.09031071425331,59056,0,0,0,1,0.00095803678267603,0.000281490903126977
2.31836213414134,4,0,9.99999999999998,0.1,9.19788876999786,7.22047336414345,71196,1,0,1,1,4.90484811950545e-07,7.37304489685379e-08
1.42074192020512,4,0,9.99999999999998,0.1,8.63152481283061,9.78921710737448,72712,1,0,1,1,6.704203787723,0.246847759416355
6.44237135888061,14,0,0,0.1,14.3083548010298,6.63401655785074,73281,1,0,1,1,0.0146839942255973,0.0311016350937797
2.24475101189405,11,4,9.99999999999998,0.1,19.4909016846196,7.85384932727451,78456,1,0,1,1,3.07477103816469,0.38845654195876
0.319029866564376,4,4,9.99999999999998,0.1,5.85575115227473,9.66327871428961,79940,0,0,0,1,4.80837083209644,0.00839127220600488
1.86990479876406,4,0,9.99999999999998,0.1,7.66135924962579,9.70854554913823,80819,1,0,1,1,1.41224627721141e-06,9.38242932762316e-08
1.40877126354146,9.99999999999998,14,0,0.1,9.17501863647767,8.43375262706375,81097,0,0,0,1,0.586056796283936,0.0249970589493671
2.38280873414344,3,4,9.99999999999998,0.1,7.45159890089104,9.23120983325237,81366,0,0,0,1,1.53955779284519e-14,1.82843791341648e-15
4.86848282363686,14,0,0,0.1,13.6426259620502,5.3258568615866,81894,1,0,1,1,3.22868571889555e-19,4.63036932940689e-19
2.20672522486877,2,4,9.99999999999998,0.1,8.66268803705773,8.64403718781101,83534,0,0,0,1,0.000221866863764291,2.40862459891006e-05
9.11911910563182,14,0,0,0.1,15.3646299306869,8.65448917494488,97218,1,1,1,1,7.62025468436949e-07,2.64403231337744e-06
0.257104613534171,4,14,0,0.1,3.05833265331797,8.09877196021618,107489,0,0,0,1,0.000412972324021007,5.58022973691421e-07
1.67104723551814,4,0,9.99999999999998,0.1,8.59572589997876,9.97532133553934,109795,1,0,1,1,0.000161919992711353,8.21830738498243e-06
0.891808434471848,4,0,9.99999999999998,0.1,8.34252945586149,6.04927897861033,112923,0,0,0,1,6.96796722358777,0.163840633497784
6.61814065259175,4,14,0,0.1,9.24440464151869,8.47373601107304,118732,0,0,0,1,6.9093494371499e-06,1.02873853210817e-05
1.56213758926975,4,14,0,0.1,7.23592471346797,9.02621287580175,121226,0,0,0,1,2.56016052880916,0.125974534972727
1.59339728902442,4,0,9.99999999999998,0.1,10.5075787212671,6.78581856775728,127191,1,0,1,1,6.67277461962486e-14,4.74251538933928e-15
8.25702912018746,14,0,0,0.1,3.57176765989318,5.28526146029427,130980,0,1,0,1,0.257564508104718,0.854167023641667
9.161236659377,14,0,0,0.1,3.43142359698865,8.32981306238835,130980,0,1,0,1,0.337576108232894,1.23598120923845
1.72902634355064,4,4,9.99999999999998,0.1,4.56522414540393,9.36380219814669,131423,0,0,0,1,0.0124601660652129,0.00072981690376421
