days_to_detection,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_removed,symptomatic,vaccinated,FoI
4.2,0.1,4.21882794210656,6.15796897802472,0,1,5207.1,1,0,0.0391355719114
8.99999999999998,0.1,9.74407409646771,8.65658011496919,1,0,16632,1,0,0.010394376314706
6.19999999999999,0.1,3.60714013314239,5.91983426058263,1,0,17117,0,0,0.000249508616919556
10.1,0.1,12.0432621458402,6.53378159463989,1,0,28877,0,0,0.302428636714541
3.1,0.1,3.10801052539536,6.18469338876663,0,1,34908.7,1,0,0.261637305953307
4.1,0.1,4.29355678516112,5.4804362450883,1,0,42283,1,0,0.0858269485579641
2,0.1,2.07676566291218,7.35671466711475,0,1,47167.8,1,0,10.006666819056
4.4,0.1,4.46623663427705,6.66163528523861,0,1,47171.8,1,0,0.0225354586879896
3.9,0.1,5.58395795697904,6.48119478090582,1,0,48872,1,0,3.40711584537122
4.3,0.1,4.39827148136867,8.68841345089292,0,1,49281.5,1,0,3.86165638929993e-10
3.4,0.1,3.43415635052964,7.81273355458497,0,1,51905.3,1,0,2.5804636844063
5.1,0.1,5.11705367127221,7.98183182114956,1,1,57476,1,0,0.0146512608028033
4.1,0.1,4.17327285813832,8.07572464349942,0,1,59100.1,1,0,5.19023757764091e-13
5.1,0.1,5.10452749059745,9.44539515961421,0,1,63415.6,1,0,7.12491617791992e-08
7.79999999999999,0.1,5.25130324549209,8.87368164304411,1,0,76794,0,0,1.90902660481248e-14
4.3,0.1,4.35390894969652,8.19363753609705,0,1,88556,1,0,1.57685354720436
5.2,0.1,5.24224519356969,5.64161400894453,0,1,88556.7,1,0,2.77004171153981e-05
3.1,0.1,3.1299285804768,6.67860538318967,0,1,88821.4,1,0,0.0724603293929469
10.4,0.1,14.395818736825,8.34555746021506,1,0,123447,0,0,8.53240559175424e-07
5.8,0.1,8.68109113901396,9.48188521957119,1,0,134034,1,0,4.31186891145116e-13
6.69999999999999,0.1,4.23340706147209,9.67624592105014,1,0,146923,0,0,3.83527242696902e-10
4.2,0.1,4.29425917474104,8.2672729818101,0,1,153656.1,1,0,9.503916972419e-09
4.2,0.1,6.12019402897983,8.96423252897327,1,0,155331,1,0,1.8534122704918
4,0.1,8.22719011379345,8.26604206180199,1,0,180315,1,0,0.00193090075101258
7.09999999999999,0.1,7.14865913261079,6.8062381950774,0,1,196909.4,1,0,0.00740524274534811
3.5,0.1,3.56027781801723,8.64501192547545,0,1,199394.1,1,0,9.28060614229309e-09
8.89999999999998,0.1,5.81585770609735,9.25540375848541,1,0,199399,0,0,0.0779362099869634
4.3,0.1,4.39824391996769,5.8068304679432,0,1,210592.4,1,0,4.57308648792785e-05
2.8,0.1,2.84140455359832,6.11773264325759,0,1,216518,1,0,8.09865921647561e-10
2.7,0.1,2.76874309790754,9.75512465421577,0,1,221587.2,1,0,2.83534859090073e-07
2.9,0.1,2.91190378592414,6.43177841509533,0,1,226182.5,1,0,3.39774109011117e-05
4.3,0.1,4.34872590152883,5.66892208609036,0,1,238552.8,1,0,2.75911191205762
3.2,0.1,3.20723360045004,8.55016088161022,0,1,272464.6,1,0,0.597317289366455
2.7,0.1,2.70481679742701,5.38931286710328,0,1,272764.2,1,0,0.0972304596205841
2.7,0.1,2.79845645377584,6.90551898029203,0,1,296650.1,1,0,0.00515120386678063
3.8,0.1,5.97633225241823,6.22990260997951,1,0,296989,1,0,1.90560131196869e-09
2.7,0.1,2.78065922293735,9.22058800590796,0,1,303660.9,1,0,0.00122757564427711
5.9,0.1,7.30434148473489,5.58888436927574,1,0,304377,0,0,0.0567872617879117
5.7,0.1,5.92567104778145,5.1941215641642,1,0,312641,1,0,1.16196691492314e-08
6.39999999999999,0.1,6.6998292056387,9.70590373131093,1,0,314693,1,0,3.53465617609323e-10
5.7,0.1,6.40835478624506,6.30791947309101,1,0,348466,1,0,0.402512892502261
8.39999999999999,0.1,10.8671578882826,7.07754014282102,1,0,348471,1,0,0.00534746597884661
3.8,0.1,3.83403752802998,5.98790730657327,0,1,360198.6,1,0,2.96300154228326e-12
6.79999999999999,0.1,7.03193801374587,7.89401221085042,1,0,367410,1,0,0.0130915409848057
5.7,0.1,4.1652864217104,7.88571919044026,1,0,367410,0,0,6.32267594682185e-11
3.5,0.1,3.52560466637052,5.64891809411559,0,1,388667.5,1,0,0.110199572513452
4.9,0.1,6.87209552326987,5.65706531450918,1,0,393251,1,0,0.182189811343312
