days_infectious_community,days_in_quar,days_in_extended_quar,days_in_isolation,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliant,FoI_max,integrated_FoI
8.1435076818306,1,0,0,0.1,5.3563241193999,5.0871835624307,15,1,1,0,0,0.145699666352252,0.548673891868081
12.3658271392538,6.99999999999999,0,0,0.1,4.50937289402048,9.35645424523333,21,0,1,0,1,0.300247326008215,1.50842976057301
20.9944167716163,4,0,0,0.1,11.9790455772461,9.31537119437018,25,0,1,0,0,0.0872406863947292,0.71328331888885
10.0700683788052,1,0,0,0.1,3.47538304450254,8.59468533430266,29,1,1,0,0,0.00651422775397267,0.0268143161838515
12.5458531189853,1,0,0,0.1,7.42593364059158,5.81991947839368,50,0,1,0,0,0.116555914917234,0.595519652576182
13.1816701354532,1,0,0,0.1,6.68269476652416,9.79897536892908,50,1,1,0,0,0.0519497188252073,0.298378853752544
0.808725440003657,2,14,0,0.1,4.38657370015846,7.22215173984518,51,0,0,0,1,0.818372503409624,0.0129404889495222
7.15114605096039,1,0,0,0.1,4.10625866099724,7.54488738996315,57,1,1,0,0,1.05627885859187,2.37518770092628
7.4323439643978,2,0,0,0.1,2.7919052521978,5.1404387122,58,0,0,0,0,0.269963443456762,0.791473438928719
7.6485666763546,4,0,0,0.1,2.73726758362164,5.01129909273296,60,0,1,0,0,0.289532583241197,0.835596431506769
2.13220359153779,2,1,9.99999999999998,0.1,5.09780629389885,9.73439729763891,62,0,0,0,1,0.00813690838232022,0.00071397674381983
6.57676063601714,1,0,0,0.1,7.47641406761468,5.60034656840246,84,1,1,0,0,0.399344841475396,1.16460875995938
11.8273081916704,1,0,0,0.1,6.11016355213464,6.31714463953578,106,0,0,0,0,0.100118777271324,0.476781815341979
11.4006124804272,1,0,0,0.1,6.39231810756159,9.70829437286556,113,1,1,0,0,0.107863571220421,0.527255299561652
10.8954138852421,1,0,0,0.1,4.01789207101482,7.07752181422732,117,0,1,0,0,1.06785203502011e-07,4.46396211747572e-07
4.25125418724123,1,0,0,0.1,3.13133058614612,5.9199236010951,120,1,0,0,0,0.0166013921838779,0.0138662552775765
9.81552510432855,1,0,0,0.1,3.92446766171792,9.39105744261063,141,1,0,0,0,0.0285690504863094,0.105281714323272
9.07016283314448,6.99999999999999,0,0,0.1,5.71835595255029,5.25180688059419,147,0,1,0,1,0.0011471941385034,0.00464995343979643
7.11350946584273,1,0,0,0.1,4.5907585595003,5.32275090634242,148,1,0,0,0,0.582529867257708,1.89838396819432
9.77203925393391,6.99999999999999,0,0,0.1,5.81275234636117,7.05928690757274,154,0,0,0,1,1.82247456170617,8.02652606293638
8.89935315943945,6.99999999999999,0,0,0.1,2.06743227381772,8.13192088562174,154,0,0,0,1,0.132232543533423,0.459880707166346
7.54566458539492,1,0,0,0.1,6.29240955348453,7.15325503191039,169,1,1,0,0,0.942664636575259,2.71133565889984
11.9951909546152,1,0,0,0.1,5.64410208733961,6.45108886727564,169,0,1,0,0,2.13333043175673e-07,9.79509091273125e-07
11.0818980230862,1,0,0,0.1,4.57638283851432,8.40551518457186,176,1,1,0,0,0.299977438789292,1.39059071629731
11.1803678390604,4,0,0,0.1,5.16466099964332,6.31570683941704,179,0,1,0,0,0.0873170327620432,0.382136563451878
0.320246839586648,5.99999999999999,0,9.99999999999998,0.1,6.19783738439279,9.42240945519382,184,0,0,0,1,2.64376283075604,0.00477088580857554
8.5065280598782,1,0,0,0.1,5.66400798432313,7.14252007555506,204,1,1,0,0,0.00151110946937522,0.00562955982782701
2.44384252797334,1,0,0,0.1,3.29199256988917,9.55184995808417,223,1,0,0,0,0.291917767228315,0.0351874616940984
10.7052278131602,1,0,0,0.1,2.6070452275183,8.19818258564186,225,0,0,0,0,0.00326890915176152,0.0129049766492835
10.8935510299643,5,0,0,0.1,4.00828478580853,7.08526624415575,229,0,1,0,0,0.0962875875994267,0.402456945835274
13.8849414538806,1,0,0,0.1,6.96205634840696,9.12288510547362,239,1,1,0,0,0.319706264792219,1.88070825080796
7.59506759257932,1,0,0,0.1,4.74755104096891,7.24751655161042,253,1,1,0,0,2.23258424723061,6.39438552798552
7.64750503101986,1,0,0,0.1,3.61469906338026,7.33280596763961,300,1,0,0,0,0.700917970109247,2.00524330075525
8.66827380959335,1,0,0,0.1,5.00442070038284,8.66385310921051,301,1,1,0,0,0.0421720047983873,0.127055180673732
5.22382118211605,1,0,0,0.1,3.8058133764601,6.91800780565594,302,1,0,0,0,1.03223607851591,1.14809151535768
6.72779168502253,1,0,0,0.1,7.30361758421473,8.6241741008078,306,1,0,0,0,0.412548910214414,0.623228463509936
11.3108545698862,5.99999999999999,0,0,0.1,6.36231971370232,5.74853485618387,311,0,1,0,0,9.35968392899698,43.456086242809
8.16984482627298,6.99999999999999,0,0,0.1,3.47401745559091,8.69582737068206,312,0,1,0,1,2.40005526500099,6.06787170571461
13.723100758207,6.99999999999999,0,0,0.1,5.28964370714981,9.23345705105719,312,0,1,0,1,0.00763999002229083,0.0413398247714103
5.85536826930559,1,0,0,0.1,3.11994548765453,8.73542278165105,330,1,0,0,0,0.302538017640475,0.312581192135194
9.2804149663457,6.99999999999999,0,0,0.1,5.51648463693118,5.16393032941453,336,0,1,0,1,0.0182931623471377,0.0735813241649711
6.1994239386618,6.99999999999999,0,0,0.1,3.92268517604584,5.27673876261596,336,0,1,0,1,0.966055081400837,2.58402040890303
13.6348524220713,2,0,0,0.1,7.89940026840737,6.33545215366394,357,0,0,0,0,0.891923369774771,4.86662800580146
