days_to_detection,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_removed,symptomatic,vaccinated,FoI
3.2,0.1,5.92881848182957,7.41961816389637,1,0,4878,0,0,5.0100558601619
4.5,0.1,7.07477492105214,7.11499061498736,1,0,4882,0,0,0.000229736524694955
3.9,0.1,5.31710049926319,9.705501045302,1,0,4988,1,0,0.000189062722633209
2,0.1,2.03170739668173,5.44986396844665,0,1,8507.9,1,0,0.000645332911362618
5.2,0.1,5.29979448426624,5.59370828805205,1,1,8512,1,0,0.108726634211394
5.8,0.1,7.51634344955828,5.71860517552031,1,0,10990,0,0,0.00180423499623676
3.6,0.1,3.6122549163222,5.37901380870676,0,1,10990.9,1,0,0.000301296687714652
5.8,0.1,5.14727035154293,9.89545871721128,1,0,12068,0,0,0.0595174498930557
5.1,0.1,5.27311011313487,6.92721758652231,1,0,12334,1,0,0.00309191031814349
6.69999999999999,0.1,6.72123219575915,5.72825902981602,1,1,13217,1,0,2.03219374719275e-05
3.6,0.1,3.64979867931474,6.55976677495869,0,1,15658.6,1,0,1.61606166691693e-05
4,0.1,4.05311566052183,5.3292438215814,0,1,15663.2,1,0,3.00055079358501
4.3,0.1,3.23596900345449,9.18961155543415,1,0,15664,0,0,0.216043305098448
6.19999999999999,0.1,9.2240075263185,9.78245161927842,1,0,19834,1,0,1.62887506653921
4.4,0.1,4.41319106787403,7.71369454787537,0,1,20133.7,1,0,0.00272649993546003
4.8,0.1,6.68870978292346,8.41134902064127,1,0,22909,1,0,0.104869916801694
4,0.1,4.75683531477052,8.89671294706619,1,0,23812,1,0,0.135698963284153
6.59999999999999,0.1,7.01970329143434,5.9953143916398,1,0,25822,1,0,2.01722298565176e-29
3.3,0.1,3.33978364453823,8.89842775872149,0,1,27554.7,1,0,9.70211871348921e-05
2.1,0.1,2.14118896924163,9.13421794909848,0,1,28786.3,1,0,1.47771020965979e-05
6.39999999999999,0.1,5.83711876847408,7.08669800322773,1,0,31072,0,0,0.399744826385066
1.8,0.1,1.83663873298599,6.27005057646913,0,1,35038.3,1,0,5.61316378972274e-12
6.79999999999999,0.1,6.73113179525826,6.30867450359355,1,0,37214,0,0,0.110039284604578
5.3,0.1,5.45534929273622,9.94696973881497,1,0,40093,0,0,3.90570501700518
2.3,0.1,2.37337291282646,8.16301430361386,0,1,44272.5,1,0,3.6560891670473
4.9,0.1,4.92725725370743,5.44256718264911,0,1,44275.9,1,0,0.217752874266589
2.6,0.1,2.60954624907603,6.5081251733807,0,1,44427.1,1,0,0.454121736417222
5.6,0.1,6.59130313781655,7.10768798049758,1,0,60503,1,0,0.000286188483564499
4,0.1,4.0561167150434,8.30546874273825,0,1,61710,1,0,5.84711887829583
2.6,0.1,2.66156276734412,8.01505548522988,0,1,61712.4,1,0,1.1333987912188e-21
4.9,0.1,5.56573539862279,9.09298424591363,1,0,61714,1,0,0.0165655236258226
4.3,0.1,4.39624900116879,9.06271062557571,0,1,62296.1,1,0,0.00372266128159224
6.39999999999999,0.1,9.14885531061908,8.69396266203849,1,0,67496,1,0,0.0510817416665156
9.59999999999998,0.1,12.1751314887246,7.95189404296858,1,0,70413,1,0,1.34340238278922e-12
8.29999999999999,0.1,9.84057903586173,7.4318888076687,1,0,73832,0,0,1.47621357805519
3.5,0.1,3.54287496017242,6.82309264040198,0,1,74043.7,1,0,0.0201707841975294
4.7,0.1,4.70074451490624,9.95820075218483,0,1,76895.2,1,0,0.022149429640939
2,0.1,2.07079851032119,5.30348969880465,0,1,79522.1,1,0,0.00945377530984133
6.69999999999999,0.1,6.76978368612788,8.32472173153226,0,1,86020.8,1,0,0.0237046249396241
3.6,0.1,3.60196797702533,6.86054414160906,0,1,88168.2,1,0,3.84429658976841e-05
4.5,0.1,6.83047392535618,5.22787882849999,1,0,88170,1,0,0.193125842290472
3.2,0.1,3.29174367441982,8.26978988856576,0,1,94676.9,1,0,0.000436929835135622
6.79999999999999,0.1,4.16307943065039,7.6448169163319,1,0,102829,0,0,1.83982019540169e-22
7.29999999999999,0.1,9.85356496520077,5.30252946587497,1,0,103316,0,0,0.00279673245048688
6.49999999999999,0.1,6.12097516653105,5.62767937614012,1,0,104169,0,0,0.223499313713274
3.6,0.1,3.68997568261422,5.26974438990122,0,1,104260.9,1,0,4.36457170874106
5.5,0.1,3.63928615355886,5.61292134545677,1,0,104992,0,0,2.01632467070068e-05
2.3,0.1,2.30619548777655,5.83130791319832,0,1,105348.3,1,0,0.929489462463542
4.8,0.1,3.75076299835708,9.00000461993953,1,0,105351,0,0,0.00130365228130539
4.4,0.1,5.8592032248757,9.5895830308771,1,0,106541,0,0,0.025081601607634
3.8,0.1,3.81430406530249,9.32034776809831,0,1,107362.4,1,0,0.0127870362405149
7.49999999999999,0.1,10.4900916395351,6.40567234141696,1,0,110445,0,0,0.000761959705707053
4.7,0.1,7.06569165338084,9.13121854694991,1,0,111707,1,0,0.098566188737944
11,0.1,13.8869116847946,5.31145446032366,1,0,111716,0,0,0.000791844662125351
4.4,0.1,7.86493175331274,9.87096037776001,1,0,115518,0,0,1.13588199200004e-05
9.89999999999998,0.1,12.7519092541595,6.5329133951376,1,0,116383,1,0,0.253604868888056
6.79999999999999,0.1,10.0729351716569,6.04643196748581,1,0,118567,1,0,7.75535325488351e-10
2.1,0.1,5.00777916126915,8.05353335338474,1,0,121436,1,0,2.28061642847747
2.1,0.1,2.13887244220306,9.08304140544204,0,1,121874.2,1,0,1.14278325970983e-15
5.7,0.1,5.76303260072393,9.15793842107167,0,1,122520.7,1,0,0.00100387246759915
2.3,0.1,2.39611916241892,7.37183476061864,0,1,128736.3,1,0,1.46302181085893
4.9,0.1,4.98607825369152,8.75420348073885,0,1,134238.3,1,0,0.0273204273662717
7.59999999999999,0.1,10.5325338039906,6.6813437602074,1,0,134580,1,0,2.03959402173868e-07
4.4,0.1,6.11327920096604,5.60386282669706,1,0,135847,1,0,6.52031542317284e-05
4.1,0.1,4.84805877044711,8.74040839515544,1,0,138992,1,0,1.68619475533127e-06
2.6,0.1,2.66509892841047,7.06891668903629,0,1,139378.2,1,0,3.47931081603967e-10
4.2,0.1,4.24896985357484,6.32452106462242,0,1,141666.6,1,0,2.07655858195365e-11
5.2,0.1,2.35628077987449,8.26687915241308,1,0,142220,0,0,0.134695372803353
4.5,0.1,4.53008377682639,7.97446426846052,0,1,158224.6,1,0,1.46542932980101e-12
4.1,0.1,6.72476212435626,8.52806766194815,1,0,165027,0,0,4.29205992084416e-13
3.3,0.1,3.39815749566056,7.08739520800406,0,1,168756.9,1,0,0.0170559689431441
10.2,0.1,11.7965631597901,8.54739394994609,1,0,168762,1,0,0.000160246858701892
5.2,0.1,5.25405447238533,6.38384148282008,0,1,169424.8,1,0,1.78768603963642e-05
5.6,0.1,9.07440145109823,7.23804689745634,1,0,176731,1,0,0.000637489593528004
6.19999999999999,0.1,7.60414164113348,5.85878670382802,1,0,176733,0,0,2.14654287792475
3.6,0.1,6.6632856218834,6.93207106763811,1,0,176735,0,0,1.2777328676659
3.9,0.1,2.75151888653179,6.81669878152344,1,0,188160,0,0,3.51249249454234e-05
3.1,0.1,3.14292411399288,8.23791347853732,0,1,198186.2,1,0,0.0373379504740068
6.39999999999999,0.1,6.51598643629224,5.48899115433132,1,0,208060,0,0,0.0276874322928148
12.6,0.1,12.8953672643517,8.96020016168977,1,0,211243,1,0,4.45096298043349e-16
6.29999999999999,0.1,6.77861099721289,6.46913062218405,1,0,211316,0,0,0.00838315374984526
5.1,0.1,5.1419433060195,7.69934689873508,0,1,216544.7,1,0,1.12255439767902
2.3,0.1,2.38379756965432,9.79468586510146,0,1,217344.8,1,0,0.0357219510220879
3.9,0.1,3.98721285809712,7.41563310415073,0,1,219990.6,1,0,7.05051219579116
5.3,0.1,5.32461466346055,9.58258228722027,0,1,219994.3,1,0,0.00353348728084609
9.49999999999998,0.1,11.0497351386651,8.50994374157816,1,0,219998,1,0,0.000320680954752801
7.39999999999999,0.1,7.49031624769962,8.91606817472691,0,1,225311.9,1,0,0.0104652594394085
8.59999999999999,0.1,12.0372944088725,8.55830506033202,1,0,226961,0,0,7.08915528187552e-05
4,0.1,4.09743310382851,9.26992176408182,0,1,230392.2,1,0,0.00185791118233936
5.4,0.1,5.47951076465625,7.65915411348292,0,1,233563.7,1,0,0.563837530370118
6.19999999999999,0.1,6.61427906576895,7.22842351063413,1,0,235339,1,0,1.08209041579763
8.19999999999999,0.1,10.0617252334956,5.82532550604502,1,0,235347,1,0,8.89273125894522e-12
4.4,0.1,4.48814611107598,9.55800956987371,0,1,237069.2,1,0,0.275762940408566
5.99999999999999,0.1,6.83640838415068,8.14235342839781,1,0,239738,1,0,0.282163936648092
8.59999999999999,0.1,8.66505434175023,8.33543221131303,0,1,240466.9,1,0,5.2549556945422e-05
6.29999999999999,0.1,5.13447522325182,8.74969456270026,1,0,241035,0,0,0.463771905856717
5.5,0.1,5.58487692869281,6.61946561163054,0,1,245485.5,1,0,0.18698923491936
7.69999999999999,0.1,7.71045566281198,6.5101583082501,0,1,252336.6,1,0,0.0520278659233203
2.9,0.1,2.92406981834985,9.25904998774413,0,1,255210.2,1,0,1.5291717368523e-05
6.19999999999999,0.1,3.79435271762312,6.15488272179347,1,0,261866,0,0,7.23783802415786e-06
3.8,0.1,3.89629610054345,7.87884000523796,0,1,263498.3,1,0,3.22853508164327e-11
4.3,0.1,4.30581361782285,8.43102502422471,0,1,264183.8,1,0,0.0398756954975052
5.1,0.1,4.02548002194189,6.37031337487357,1,0,264699,0,0,2.3945214302002e-07
7.99999999999999,0.1,8.88581907320703,8.63997484241975,1,0,268521,1,0,1.91741089366446e-21
4.9,0.1,7.73136497519819,9.17047341730131,1,0,269813,0,0,4.37620354497103
5.4,0.1,5.44916770132281,8.28513891861014,0,1,270886.1,1,0,0.000198739769830197
3.9,0.1,3.9212809050775,8.55936884264596,0,1,273228,1,0,0.00309963910637074
6.39999999999999,0.1,6.44969289980415,9.1155853011813,0,1,279682.9,1,0,0.24405602975353
4.4,0.1,3.22338009499512,7.0190672003714,1,0,287493,0,0,0.565977004106923
5.6,0.1,5.7098703804944,5.56791961523768,1,0,303684,1,0,1.967627320191e-19
6.79999999999999,0.1,6.83946187752005,8.74140904866979,0,1,303991.2,1,0,0.0069840593716005
5.7,0.1,8.39493997438679,5.15697123644148,1,0,306292,1,0,1.12145269748193
3.3,0.1,3.37317306865217,8.11288536817111,0,1,311487,1,0,0.00464943966170152
7.99999999999999,0.1,8.04568899068258,8.49070768859979,0,1,311491.4,1,0,0.000574997637871017
5.7,0.1,3.63300729311567,5.8000509891266,1,0,312030,0,0,1.23094049199761e-16
4.8,0.1,5.40257533033796,6.42691250247229,1,0,315802,1,0,3.85876148339482e-08
1.8,0.1,1.82360654565272,8.96469286685455,0,1,320705.1,1,0,0.0954576055295373
2.9,0.1,2.97753171170578,5.91403095331905,0,1,321194.8,1,0,3.72108743684164
6.19999999999999,0.1,4.74233285046646,7.18858078985591,1,0,321198,0,0,0.314187422994251
6.19999999999999,0.1,6.79579751337126,5.38491749726767,1,0,321730,0,0,0.000742147937646778
5.1,0.1,6.58699672976506,8.48199722135204,1,0,323197,0,0,0.0335628050189268
4.4,0.1,4.40210924982696,7.2769900632486,0,1,327838.2,1,0,0.00318006689852884
4.5,0.1,6.49468827627315,9.05235839659063,1,0,328595,1,0,2.80570206638338e-07
4.2,0.1,4.26943475597058,7.82321052221636,0,1,329278.7,1,0,0.000123144385073383
4.3,0.1,4.36637156390738,5.2740266187419,0,1,338138.1,1,0,0.189265969877185
5.2,0.1,5.24675622515749,8.71868359125916,1,1,351416,1,0,0.0667355414563023
4.8,0.1,6.57754557172162,6.12174778800034,1,0,355318,1,0,0.0010347070009637
5,0.1,6.49365500669378,9.59811779137316,1,0,363965,1,0,0.0113786425885409
5.5,0.1,2.66816560328453,6.21206517164234,1,0,366388,0,0,6.15963113179839
2.3,0.1,2.31800448082374,8.76457700138214,0,1,366435.9,1,0,8.37339006707247e-05
4.1,0.1,4.12691117070035,6.24422095411409,0,1,366534.8,1,0,1.13175829120249e-17
6.89999999999999,0.1,7.10044887955232,5.03349079093207,1,0,367657,1,0,1.01110672807925
6.49999999999999,0.1,9.70546525467778,9.14506378337045,1,0,370804,1,0,0.403258507763821
6.59999999999999,0.1,5.01217951211252,9.82884159344805,1,0,370923,0,0,9.46711691897892e-05
6.79999999999999,0.1,6.92664766422326,9.71219596802968,1,0,375796,0,0,4.61232952355781
4.9,0.1,4.92796501837294,9.05701482900725,0,1,375800.7,1,0,0.314877096881034
8.49999999999999,0.1,9.70772480238238,5.77205239385026,1,0,375803,1,0,2.24130151151582e-05
5.9,0.1,3.01147013041994,8.25623050224268,1,0,379226,0,0,1.90792342401753e-11
6.19999999999999,0.1,7.1547660973236,9.09142974165021,1,0,380144,0,0,0.529229125481026
8.09999999999999,0.1,8.20191297143067,6.0491597489955,1,0,381255,1,0,1.61815361545277e-08
6.59999999999999,0.1,3.77952185880423,8.13579612573177,1,0,384701,0,0,2.65705599939846e-07
2.3,0.1,2.35563537563754,9.47710675711615,0,1,386553.7,1,0,0.0682805375884965
7.99999999999999,0.1,9.5806056957599,6.35428313514145,1,0,387805,0,0,3.33676924824292e-05
6.09999999999999,0.1,6.5089470372637,7.84895091057798,1,0,388797,1,0,2.27335330473141
7.39999999999999,0.1,5.55235240502999,5.70325034545132,1,0,388803,0,0,1.36659796719684e-05
3.7,0.1,3.79618444174728,7.23036982906601,0,1,388879.2,1,0,8.85733625870274e-07
4.2,0.1,4.23881851084463,6.38681998159584,0,1,388885.6,1,0,4.57289808244656e-16
5.3,0.1,5.82651392822659,8.98469698910988,1,0,391667,1,0,0.182617659449691
4.5,0.1,4.58675517919272,7.97004998002276,0,1,398967.4,1,0,0.595615307055661
