days_to_detection,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_removed,symptomatic,vaccinated,FoI
4.9,0.1,5.15661284981574,5.05173911408584,1,0,2227,1,0,4.61098608878688e-06
3.4,0.1,3.45744247401719,5.14722593600958,0,1,2760.6,1,0,0.00418638259488277
5.8,0.1,5.87877283345107,9.73382642210329,0,1,8905.5,1,0,0.789872648067526
4.4,0.1,4.40265031405901,6.2873617363052,0,1,8908.9,1,0,0.000311753767815161
4.8,0.1,4.83239991330495,7.94832777906877,0,1,12069.9,1,0,0.00022101236903809
6.59999999999999,0.1,5.47395414631894,7.94733748556514,1,0,13713,0,0,0.0117117832902243
6.49999999999999,0.1,10.6644617430307,9.50884791094674,1,0,13715,1,0,0.0463637466882674
3.4,0.1,3.45867855179255,6.87064748448387,0,1,16001.4,1,0,6.13740539569944e-07
5.5,0.1,5.59247717528982,9.85641796852735,0,1,16104.6,1,0,0.00164780217418258
5.6,0.1,4.6010798560313,8.82293914741113,1,0,19950,0,0,8.14453395245999e-14
7.09999999999999,0.1,7.19685030191576,7.16414285591186,0,1,45392.1,1,0,1.30016259839972
6.99999999999999,0.1,8.229086179064,9.61570540239215,1,0,51404,1,0,0.00056967555847729
6.39999999999999,0.1,9.30730350732322,5.9153708260956,1,0,71125,0,0,0.246794009920826
3.6,0.1,3.67863769861383,7.25388969711635,0,1,72019.2,1,0,0.180215828441594
3.4,0.1,3.17986369001594,8.84409849801818,1,0,73636,0,0,5.82122660705429e-08
9.19999999999998,0.1,10.9733361923442,9.31619128463102,1,0,82989,1,0,0.117465568705192
4.3,0.1,3.83508231895793,5.79691280728351,1,0,83688,0,0,1.44778213767236
4,0.1,4.00530827907489,7.79536567922217,0,1,85779.8,1,0,9.92405101332782e-12
6.29999999999999,0.1,4.93424206993501,6.3159277665776,1,0,85780,0,0,5.59657487613832e-10
4,0.1,6.21985231595422,5.85798202700677,1,0,88112,0,0,0.00450917489472768
3.2,0.1,3.20473874657634,5.76290350750358,0,1,93582.8,1,0,0.00533128032755963
6.19999999999999,0.1,7.70041729454384,5.65500264537223,1,0,97493,1,0,0.00369909862493117
4.9,0.1,4.92988429764791,9.16154059805485,0,1,101050.3,1,0,0.565830184397746
6.39999999999999,0.1,7.25914705352898,6.53516543578475,1,0,116613,1,0,1.22052861096173
6.39999999999999,0.1,6.53560363673613,6.51915149993146,1,0,118515,1,0,4.01221841686063e-08
4.1,0.1,5.35375808958936,9.70960414606341,1,0,120082,1,0,0.402158054276937
6.49999999999999,0.1,7.09432093085312,9.50158744602052,1,0,122308,1,0,0.000204395289630925
4.4,0.1,4.47034108272479,6.59355428344358,0,1,123373.2,1,0,0.000590656010012399
6.29999999999999,0.1,4.34020837217994,5.1772035038009,1,0,123377,0,0,0.000154709855304694
3.5,0.1,3.5923815172265,9.88880269077562,0,1,127193.7,1,0,0.000352727811258881
4.5,0.1,5.97484118642298,5.93591833029173,1,0,127562,1,0,0.182325994429094
11.3,0.1,11.3757320884164,5.60874654317372,0,1,133775.1,1,0,0.528886910860039
6.29999999999999,0.1,6.83499085050312,6.18304129086522,1,0,142571,1,0,8.41169078249813e-07
3.4,0.1,3.49866670415159,7.22673012181843,0,1,142928.2,1,0,0.000379767283413685
2.7,0.1,2.77467488080461,8.42128979780775,0,1,143867.1,1,0,0.00210338864851899
4.9,0.1,4.93822885272225,8.22885983335571,0,1,144820.6,1,0,0.00075686451653001
4,0.1,4.62329764377027,8.6449365366908,1,0,148010,0,0,5.35134741475974e-06
4.6,0.1,4.65572626085815,8.00097548776783,0,1,152587.3,1,0,8.7436749067872e-09
5.2,0.1,4.81856324771041,7.0109284669163,1,0,161891,0,0,1.36463566460423e-05
