"elig_coverage","new_tp_delta","new_tp_import_unvac_delta","new_tp_import_vac_pf_delta","new_tp_import_vac_az1_delta"
0.5,1.59,1.62,0.57,0.86
0.7,1.3,1.34,0.47,0.71
