days_infectious_community,days_in_quar,days_in_extended_quar,days_in_isolation,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliant,FoI_max,integrated_FoI
2.50567825016326,6.99999999999999,0,0,0.1,6.09462197184834,8.1110562783149,119,1,0,0,1,4.20074572002432e-06,6.50931089663651e-07
0.691920591210808,3,14,0,0.1,8.1484745089066,6.84344608230417,376,0,0,0,1,2.94085787029577e-05,3.56620269312686e-07
0.0986422113399783,3,0,9.99999999999998,0.1,8.45025054832681,8.24839166301313,430,1,0,0,1,0.12689509487858,2.44634705184321e-05
9.14223125611773,6.99999999999999,0,0,0.1,11.1434812357013,5.29875002041642,480,1,1,0,1,0.138283526299762,0.692517550651591
8.09697898607854,6.99999999999999,0,0,0.1,12.7452213913263,6.25175759475226,1054,1,1,0,1,0.00989222289073038,0.0394452595689609
9.26308388130435,6.99999999999999,0,0,0.1,12.1249119804142,6.23817190089012,1109,1,1,0,1,2.37027086339763e-05,0.000116373400345642
4.57559946743869,6.99999999999999,0,0,0.1,5.41829415345926,8.75730531397941,1189,1,0,0,1,4.93949256422212e-10,2.76901675183035e-10
1.06848174167697,6.99999999999999,0,0,0.1,6.76022752803012,8.60825421364683,1281,1,0,0,1,0.000108796293857875,2.54010295883285e-06
0.410453093117399,6.99999999999999,0,0,0.1,5.40617507772144,7.40427801539593,1283,1,0,0,1,9.38733688596849e-13,3.5915773106221e-15
0.974557637364331,3,4,9.99999999999998,0.1,7.13969060669576,8.23486703066854,1350,0,0,0,1,5.3085497234973e-09,1.07364303209783e-10
10.0735417764342,6.99999999999999,0,0,0.1,5.03537791963784,5.73816385679633,1405,0,1,0,1,1.01142853548803e-06,4.16212233781188e-06
9.12918223459785,6.99999999999999,0,0,0.1,5.27060707578509,7.55857515881277,1431,0,1,0,1,0.694955503947952,2.776702824487
6.9998671338577,6.99999999999999,0,0,0.1,7.54013427775224,6.85973285610546,1453,1,0,0,1,0.0126194229987157,0.0318268260240781
5.60732847884377,6.99999999999999,0,0,0.1,7.55434421232095,6.15298426652281,1502,1,1,0,1,0.000759227139958738,0.001247224269513
