days_to_detection,t_latent,t_incubation,t_post_incubation,tested_positive,expressed_symptoms,time_removed,symptomatic,vaccinated,FoI
7.69999999999999,0.1,7.75799844528631,9.04642415965697,0,1,6390.2,1,0,6.39405375472453
3,0.1,3.02855003307855,6.96087585783167,0,1,6390.8,1,0,0.00783197587053602
4.2,0.1,4.20322386840536,6.40271088938536,0,1,6391.7,1,0,4.45770386404347e-05
3.9,0.1,2.87216661947515,7.58042404332971,1,0,6392,0,0,0.0279632732262923
7.09999999999999,0.1,8.68338730302099,7.97340829099196,1,0,6395,0,0,0.348694011335774
2.7,0.1,2.72205394298542,9.75225124626896,0,1,40361.6,1,0,2.4142007806185e-18
5.2,0.1,5.05380678286767,7.14828434969784,1,0,49835,0,0,0.00380926553648927
4.6,0.1,4.69694326064919,7.11686341822141,0,1,52231.2,1,0,1.58655227814321e-05
5.9,0.1,5.97513282776241,9.50397686742903,0,1,75356.9,1,0,0.0274405333729178
5.3,0.1,7.08012359499629,8.85500613993704,1,0,97337,1,0,0.000568291706421286
4.1,0.1,4.12214283890561,8.42196830600958,0,1,97337.9,1,0,0.000591359608411243
5,0.1,3.76483369392523,9.10741037666298,1,0,105962,0,0,0.00227206952146904
5.4,0.1,7.28822570543163,5.98418887360204,1,0,160154,1,0,0.000222061010604849
5.99999999999999,0.1,4.42583642778452,5.88792102398762,1,0,160658,0,0,0.0300297978420428
2.3,0.1,2.37399602382045,6.45504483729045,0,1,183095.9,1,0,12.6576542227537
3.6,0.1,3.69392080490441,7.62766843324961,0,1,183098.2,1,0,3.78793254803502
5.6,0.1,6.35196930115598,8.08686046188853,1,0,188963,1,0,0.431197309611787
2.4,0.1,2.46422200158216,9.70699614841906,0,1,193905.4,1,0,8.55734671219361e-06
4,0.1,2.3740490711239,9.90486799398017,1,0,197251,0,0,0.00114755869711961
8.19999999999999,0.1,4.91903878695596,9.07897866923626,1,0,211858,0,0,0.0994021820250893
4.7,0.1,4.86659469992563,6.5944790766621,1,0,216647,1,0,1.84128084774012e-08
4.7,0.1,4.90204970682328,8.49566697051758,1,0,237582,0,0,0.00093034311135666
6.79999999999999,0.1,4.09053255536974,7.38729233237435,1,0,240263,0,0,1.8519592250979e-05
4.7,0.1,4.90402890581194,6.1210199143697,1,0,241241,1,0,5.73217863079383e-06
2.6,0.1,2.67367776640335,8.92774982506011,0,1,249916.6,1,0,0.57453787262596
4.3,0.1,5.05438480452409,7.87131068043437,1,0,256109,0,0,4.28639361994487
4.7,0.1,4.72171020727704,8.62713477180924,1,1,258521,1,0,0.860296171661741
5,0.1,4.72437756366954,8.75768170299836,1,0,258523,0,0,0.1984794705834
4.3,0.1,4.33174510348203,6.03155173466889,1,0,264196,0,0,0.00819341839420064
3.3,0.1,4.57159182179677,6.91850636420293,1,0,282197,1,0,3.37944995841813e-11
4.6,0.1,4.64972230391832,8.6477190608838,0,1,314172.4,1,0,0.322382514305331
2.1,0.1,2.16580836730961,5.20043310499816,0,1,323717.1,1,0,1.92649735960408e-10
2.6,0.1,2.67151378463947,9.30643941028579,0,1,331478.1,1,0,0.289112477672933
4.3,0.1,4.60225188044471,9.30733844256932,1,0,335985,0,0,7.65477149246719e-06
3.8,0.1,5.07236840008036,9.02399232053263,1,0,338444,1,0,6.74841895135442e-08
5.1,0.1,9.37665052968378,5.22342936723218,1,0,355736,1,0,7.91846954279196e-15
4.4,0.1,4.49776982274911,9.58098989719422,0,1,399601.3,1,0,2.20045405813542e-37
