days_infectious_community,days_in_quar,t_latent,t_incubation,t_post_incubation,time_discharged
8.3740343334398,7,1,4.44626775793352,6.17776657550628,439
10.169112124706,7,1,5.82859708872162,5.34051503598434,512
13.2889235837116,7,1,8.35046418224216,6.18845940146943,598
12.3617705385455,7,1,7.19023212436171,8.9215384141838,598
13.7292598296927,7,1,6.97532743029408,8.00393239939858,1322
15.4445855445338,7,1,8.35567134041852,8.08891420411524,1395
11.9020987694351,7,1,6.6810255090485,6.72107326038659,2133
11.0089919992077,7,1,2.86212831003957,9.14686368916817,2173
11.487608634722,7,1,3.35654415272026,9.8810644820017,4157
10.6662044496569,7,1,2.66844158242441,8.99776286723245,5549
8.44685011538422,7,1,5.34224034686586,5.35460976851836,5549
12.6655973887654,7,1,5.59674769508618,8.06884969367927,5552
11.4194157588183,7,1,6.1495036400735,6.26991211874483,5715
16.4653191057989,7,1,7.97793699767816,9.48738210812072,6165
13.6073827490916,7,1,7.65902509944922,6.94835764964238,6224
9.64082985266595,7,1,2.93629116007336,9.20453869259259,6647
2.01544414496665,7,1,5.46377998678658,7.80166415818007,6647
12.7389513327896,7,1,5.53248804557796,8.20646328721167,7302
11.322729385434,26,1,5.12959565500846,7.19313373042555,7465
6.74836445086208,7,1,2.36099308895764,6.38737136190444,7711
13.8775209866383,7,1,7.47804902260759,7.64947196403069,8117
10.5081169764761,7,1,5.49638605369039,6.51173092278575,8261
8.79460051418316,7,1,4.31117884211546,5.4834216720677,8672
7.98451815712357,7,1,4.38029091437123,6.60422724275235,8672
9.60997839420858,7,1,6.33916913624131,5.77080925796727,8791
2.52652548065586,7,1,7.05917782618609,6.96734765446977,8794
19.2899700293968,7,1,11.7152378473853,8.57473218201156,8794
4.77066318195155,7,1,2.22500847432577,5.04565470762578,8839
11.0301966046148,7,1,5.57684698776202,6.45334961685277,9681
14.5931158841982,7,1,6.76252032504281,8.83059555915538,9786
6.42958737225575,7,1,2.65582713111932,6.02376024113643,11183
11.3661991758903,7,1,4.35350590465951,8.76269327123082,12021
7.6984213685829,7,1,2.44794680365606,7.50047456492684,12335
13.4289058480021,7,1,8.8120648516271,5.616840996375,12607
10.0197461002687,7,1,4.0752290898174,6.94451701045134,12853
11.3606353182607,7,1,7.54162832057604,5.06900699768467,12904
15.1223553575789,7,1,6.75263255997986,9.86972279759905,13907
1.80986391557629,17,1,9.97054279592923,9.83932111964706,14290
11.5087876590378,7,1,5.47069084032935,8.53809681870842,14454
12.2345079923155,7,1,4.93564896618178,9.54885902613374,14598
8.12162034111599,7,1,3.44234499710076,6.42927534401522,15912
0.338702750693239,17,1,8.38180375577618,7.45689899491706,15917
14.3031371417577,7,1,7.07557978865728,8.22755735310043,16222
11.6479083838003,7,1,6.08960482951681,7.30830355428353,16362
19.8868755227969,7,1,13.2911980994308,7.59567742336605,16362
7.64336033566869,7,1,4.10310894739105,5.54025138827765,16376
11.8723972167416,7,1,6.8861603896431,7.98623682709848,16465
12.5393100003928,7,1,4.59521424795053,9.19409575244227,16469
9.63453924045888,7,1,6.1860953730113,5.69844386744757,16811
15.3230457156523,7,1,7.37871094171925,8.94433477393306,17052
12.6113080022676,7,1,5.66147461261244,9.69983338965518,17609
13.410946349096,7,1,8.86705208398362,7.2938942651124,19258
8.58155680636944,7,1,7.66169582002919,5.41986098634025,19535
9.46478279645492,7,1,2.65831270149871,8.3064700949562,19632
9.37873397716109,7,1,5.03997393201628,7.08876004514481,19632
