days_infectious_community,days_in_quar,days_in_extended_quar,days_in_isolation,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliant,FoI_max,integrated_FoI
0.985112854,3,0,10,0.1,5.31785725,9.867255604,125,1,0,1,1,4.20E-07,7.15E-09
1.118315883,7,0,0,0.1,9.281747188,5.836568695,507,1,0,1,1,0.383504078,0.015148235
3.433841747,3,4,10,0.1,8.129786553,9.804055195,510,0,0,0,1,0.167715253,0.041600502
2.625595425,7,0,0,0.1,5.087411222,5.338184203,750,1,0,1,1,3.37E-06,9.97E-07
0.185146328,7,0,0,0.1,4.82091949,5.664226838,1437,1,0,1,1,1.70E-06,1.71E-09
1.476151857,7,0,0,0.1,4.21783024,9.058321617,1487,1,0,1,1,1.21E-07,5.27E-09
2.489955924,7,0,0,0.1,2.497400168,9.892555756,1774,1,0,1,1,4.79E-07,5.77E-08
3.045172066,6,4,10,0.1,10.17401168,8.971160386,2020,0,0,0,1,0.099432916,0.021031847
0.023337292,3,4,10,0.1,7.719247053,7.704090239,2976,0,0,0,1,1.263730873,1.45E-05
0.786855203,6,0,10,0.1,10.76355099,9.123304212,3416,1,0,1,1,0.000134585,1.57E-06
0.194145866,7,0,0,0.1,5.581908605,8.112237262,3489,1,0,1,1,0.26208922,0.000200574
2.067463304,3,14,0,0.1,10.1123594,7.655103903,3736,0,0,0,1,0.025004053,0.002718716
12.3727982,7,0,0,0.1,4.533401063,9.139397138,3814,0,0,0,1,0.403320401,2.012545384
0.412313755,6,0,10,0.1,7.523830348,8.788483407,4512,0,0,0,1,0.187522608,0.000606532
3.723569614,3,0,10,0.1,7.667618529,9.355951085,4551,1,0,1,1,0.000112673,3.57E-05
7.941672758,7,0,0,0.1,2.579017408,8.062655349,4604,0,1,0,1,0.006637163,0.017792028
1.986853863,1,14,0,0.1,7.283515488,7.703338375,4989,0,0,0,1,1.444009898,0.142864738
2.147331265,3,0,10,0.1,7.654881329,9.192449936,5247,1,0,1,1,6.546926898,0.623291944
0.227740018,3,0,10,0.1,4.50006842,9.527671598,5679,1,0,1,1,1.44E-05,1.29E-08
4.482342341,6,14,0,0.1,9.880638195,5.401704146,6340,0,1,0,1,4.90E-05,5.47E-05
2.860563087,3,0,10,0.1,8.900185229,9.860377858,6452,1,0,1,1,4.67E-08,7.65E-09
8.66695636,7,0,0,0.1,10.88235204,7.884604319,6642,1,1,1,1,0.006673623,0.023492062
8.296547171,7,0,0,0.1,6.190171632,9.906375538,7031,1,0,1,1,1.96E-11,4.12E-11
3.043854886,3,0,10,0.1,10.71626622,9.627588662,7108,1,0,1,1,3.43E-05,6.64E-06
8.472629255,7,0,0,0.1,10.53706002,5.435569235,7116,1,0,1,1,0.523432989,2.370070048
4.056436885,7,0,0,0.1,4.818834996,9.037601889,7492,1,0,1,1,2.05E-05,8.27E-06
4.047132191,2,14,0,0.1,11.25868816,8.488444036,7607,0,0,0,1,0.091933948,0.040176876
7.242450843,7,0,0,0.1,6.099618574,7.542832269,7950,0,1,0,1,0.000549343,0.001281048
0.182755818,3,0,10,0.1,8.941004564,5.741751254,8508,1,0,1,1,0.000222225,2.14E-07
13.46089386,7,0,0,0.1,15.9494951,6.211398759,9076,1,0,1,1,0.199650016,1.481310012
1.288576187,3,14,0,0.1,6.044995762,9.543580426,9196,0,0,0,1,1.191821394,0.036773842
9.535365828,7,0,0,0.1,6.999792707,9.535573121,9580,1,1,1,1,5.823767935,19.28159729
8.309784534,7,0,0,0.1,2.51035298,8.499431553,9580,0,1,0,1,1.318361951,3.647062967
6.484949166,7,0,0,0.1,2.50871373,6.576235436,9580,0,1,0,1,0.638895491,1.401491688
6.158957946,7,0,0,0.1,4.724431569,5.534526378,9580,0,1,0,1,2.66E-06,6.76E-06
1.710353696,3,0,10,0.1,10.73261445,7.777739243,9609,1,0,1,1,0.081119087,0.00573561
4.504691442,3,14,0,0.1,10.10916888,9.995522566,10022,0,0,0,1,1.73E-05,7.81E-06
1.049345936,1,14,0,0.1,6.08848886,9.860857077,10184,0,0,0,1,5.02E-16,9.75E-18
0.871618995,7,0,0,0.1,3.042638989,7.728980007,10470,1,0,1,1,2.44E-09,4.19E-11
0.074801227,7,0,0,0.1,2.587297022,6.487504205,10916,1,0,1,1,0.003924755,5.53E-07
0.594779978,6,0,10,0.1,8.626219439,9.568560539,11388,1,0,1,1,0.002944218,1.84E-05
8.866154539,7,0,0,0.1,12.35058614,6.015568402,11685,1,0,1,1,1.05E-05,4.95E-05
8.790148412,7,0,0,0.1,4.304343183,8.28580523,12066,0,1,0,1,2.52E-05,8.53E-05
0.553597755,7,0,0,0.1,2.858560328,9.995037427,12273,1,0,1,1,0.029413749,0.000151649
10.74829108,7,0,0,0.1,4.483775778,9.8645153,12273,0,1,0,1,0.701124229,2.994046806
8.324962905,7,0,0,0.1,2.502263829,5.922699076,12273,0,0,0,1,0.001969961,0.006149788
17.52612574,7,0,0,0.1,20.20195429,9.424171451,12996,1,0,1,1,0.004672815,0.044543051
1.009565143,3,4,10,0.1,4.924329683,9.88523546,13136,0,0,0,1,0.012776849,0.000228506
15.96142739,7,0,0,0.1,20.66395285,6.497474534,13663,1,0,1,1,0.017987578,0.163962717
0.236557604,7,0,0,0.1,4.076534057,5.460023546,13791,1,0,1,1,0.369876813,0.000632366
1.836525253,4,4,10,0.1,8.94861273,9.587912523,15392,0,0,0,1,3.350908261,0.217287749
6.623464365,7,0,0,0.1,13.93110897,6.192355394,15902,1,1,1,1,1.11E-12,2.88E-12
3.790250546,3,0,10,0.1,8.841809685,9.248440861,16597,1,0,1,1,2.8284098,0.94651502
1.304206659,3,0,10,0.1,9.857798768,7.546407891,17811,1,0,1,1,0.986134024,0.040448182
