exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliance,FoI_max,FoI_community
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,5.939258423669359,9.54313835222009,29.0,1,0,1,0.9,1.02527538546267,2.515588525533501
0.9999999999999999,0.9999999999999999,0.0,10.999999999999977,0.1,4.7566490764316445,8.065546995494847,55.0,1,1,1,0.9,4.833521103092616e-5,6.572665047940791e-5
2.0000000000000004,2.0000000000000004,0.0,10.999999999999977,0.1,6.9725005115217975,7.638074794160338,168.0,1,1,1,0.9,0.00046459344616204266,0.003737793617121515
2.0000000000000004,4.000000000000002,0.0,10.999999999999977,0.1,4.87235659880573,5.1571632008628,268.0,1,1,1,0.9,0.016636272435009498,0.0354030611527245
2.0000000000000004,13.999999999999966,0.0,0.0,0.1,2.9532385576658378,5.449151104177814,281.0,1,0,1,0.9,0.23703920817216625,1.937987942487702
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,8.920881338584586,9.50755658942371,297.0,1,0,1,0.9,1.8035143247978088e-5,6.350218565359675e-5
2.500000000000001,13.999999999999966,0.0,0.0,0.1,3.7304865399530955,8.126833704803829,393.0,1,0,1,0.9,2.9350377948109897e-5,0.000290408828862751
0.9999999999999999,4.000000000000002,0.0,12.99999999999997,0.1,7.5320409207904016,7.048370111330281,410.0,1,1,1,0.9,8.787758574475106,6.562258673260169
0.9999999999999999,4.000000000000002,0.0,10.999999999999977,0.1,6.388167928251864,9.931680905730424,464.0,1,1,1,0.9,1.5572021506415886e-5,1.898326873421989e-5
0.9999999999999999,4.000000000000002,0.0,10.999999999999977,0.1,4.938726254060965,5.285885707165376,492.0,1,1,1,0.9,0.03544627276522949,0.018673098134324426
0.9999999999999999,13.999999999999966,0.0,0.0,0.1,4.332477734766883,9.049517893538692,523.0,1,0,1,0.9,0.039483648421673775,0.2081235687819264
0.9999999999999999,4.000000000000002,0.0,10.999999999999977,0.1,3.8462133242435455,7.647644585107023,524.0,1,1,1,0.9,1.5381251760816528,1.959761367842462
0.9999999999999999,3.0000000000000013,0.0,10.999999999999977,0.1,2.639525599981525,7.3781399293365535,533.0,1,1,1,0.9,1.1067984460061723e-13,8.857804606986085e-13
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,2.5481959573762225,5.124797747884003,537.0,0,0,0,0.9,0.00011900398336781351,0.00014242971712041816
0.9999999999999999,3.0000000000000013,0.0,10.999999999999977,0.1,12.461109316311163,9.321220081788336,607.0,1,1,1,0.9,0.4887561159298466,0.5580367731389544
0.9999999999999999,4.000000000000002,0.0,10.999999999999977,0.1,5.7629592076451175,5.325562654555107,622.0,1,1,1,0.9,1.1125430232727399e-7,7.473499368770254e-8
0.9999999999999999,2.0000000000000004,0.0,10.999999999999977,0.1,5.411674592065378,6.598081437937536,645.0,1,1,1,0.9,1.7051512540199098e-7,2.0658591827093113e-7
2.9000000000000012,5.999999999999995,4.000000000000002,9.99999999999998,0.1,7.910141515029327,9.672879234826546,652.0,0,0,0,0.9,0.008833480681666561,0.050018914431680765
1.6000000000000003,4.000000000000002,0.0,9.99999999999998,0.1,10.74614517708785,8.477269418063573,755.0,1,0,1,0.9,0.02334304593862886,0.06379809777558326
0.9999999999999999,3.0000000000000013,0.0,10.999999999999977,0.1,5.23308307176938,8.668948134961866,918.0,1,1,1,0.9,0.001433152405071315,0.0016154164586174027
0.9999999999999999,2.0000000000000004,0.0,10.999999999999977,0.1,3.4973481826911237,6.062990832796759,1015.0,1,1,1,0.9,1.432230666441536,1.2567671372816078
0.9999999999999999,0.9999999999999999,7.999999999999988,10.999999999999977,0.1,5.822519763697778,9.25765289585793,1022.0,0,1,0,0.9,0.050750802351888794,0.015965214860583204
0.9999999999999999,4.000000000000002,0.0,10.999999999999977,0.1,4.39674179452382,5.553432387603857,1048.0,1,1,1,0.9,1.7660370536996168,1.4757544896379848
0.9999999999999999,3.0000000000000013,4.000000000000002,10.999999999999977,0.1,5.981207929830677,9.43976036902465,1102.0,0,1,0,0.9,0.10805710694499861,0.4314092627885017
0.6,4.000000000000002,0.0,9.99999999999998,0.1,8.98877923386101,7.180116757372982,1259.0,1,0,1,0.9,7.162007332665404e-7,6.722609977798266e-7
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,10.21124288274056,8.094514987616819,1286.0,1,0,1,0.9,0.5047491570111582,0.9347569169796622
0.9999999999999999,13.999999999999966,0.0,0.0,0.1,4.936345922659326,5.895667797290635,1298.0,1,0,1,0.9,0.006420423374662059,0.011665816148579663
1.3,13.999999999999966,0.0,0.0,0.1,6.134962085176427,6.065289608059344,1321.0,1,0,1,0.9,1.728782836134173e-10,2.955318623250404e-10
0.9999999999999999,2.0000000000000004,0.0,10.999999999999977,0.1,5.605773124868252,9.665189942807226,1334.0,1,1,1,0.9,7.246184955160046e-5,8.667249786489147e-5
3.0000000000000013,4.000000000000002,0.0,11.999999999999973,0.1,7.41124330410666,7.985027252001887,1357.0,1,1,1,0.9,0.9444024670327981,2.149745535584243
0.9999999999999999,2.0000000000000004,0.0,10.999999999999977,0.1,2.209465471229213,7.032123472091487,1421.0,1,1,1,0.9,0.1813312938079748,0.10224636884738156
0.9999999999999999,3.0000000000000013,0.0,10.999999999999977,0.1,7.043321999008304,5.981638222416656,1427.0,1,1,1,0.9,0.526635739118623,1.2580886809934015
