exposure_days,days_in_quar,days_in_extended_quar,days_in_iso,t_latent,t_incubation,t_post_incubation,time_discharged,index_case,symptomatic,vaccinated,compliance,FoI_max,FoI_community
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,3.5859178215358507,9.614573747828725,29.0,1,0,1,0.5,0.058690095874075955,0.04794680795856049
0.9999999999999999,2.0000000000000004,0.0,10.999999999999977,0.1,4.227851995476102,8.147969417531453,84.0,1,1,1,0.5,0.7745521408630373,5.762556507384697
4.000000000000002,6.999999999999991,0.0,10.999999999999977,0.1,7.161154911285219,6.906201791477876,117.0,1,1,1,0.5,0.013305968637440047,0.12998420273354697
0.9999999999999999,2.0000000000000004,0.0,10.999999999999977,0.1,3.0693000261932357,5.515560370473468,140.0,1,1,1,0.5,4.5203627065337007e-7,2.049027528317412e-6
5.599999999999996,13.999999999999966,0.0,0.0,0.1,6.9049315063038526,8.741544433236935,155.0,1,0,1,0.5,0.021601116405062983,0.3691387219404479
2.0000000000000004,2.0000000000000004,0.0,10.999999999999977,0.1,2.7062775728592454,5.555212118592191,154.0,1,1,1,0.5,0.25949546877086715,0.9387827538940802
4.000000000000002,7.999999999999988,0.0,9.99999999999998,0.1,8.626460519804326,7.134950401072674,159.0,1,0,1,0.5,0.005676057936097474,0.044053871621180025
4.899999999999999,5.999999999999995,12.99999999999997,9.99999999999998,0.1,4.626367837010172,7.2798987465990175,170.0,1,0,1,0.5,6.863115337047847,94.944336860258
4.000000000000002,5.999999999999995,4.000000000000002,10.999999999999977,0.1,8.284278577988315,6.072166834079924,162.0,0,1,0,0.5,1.2832449292583494e-10,4.484787260166454e-10
3.3000000000000016,5.999999999999995,0.0,10.999999999999977,0.1,5.382911162728002,5.153088827111492,158.0,0,1,0,0.5,0.01892876472107078,0.06005112139385564
2.0000000000000004,4.000000000000002,0.0,11.999999999999973,0.1,5.433157270092188,5.632917074744544,171.0,1,1,1,0.5,9.666238641723724e-6,8.60430196103985e-6
2.0000000000000004,4.000000000000002,0.0,10.999999999999977,0.1,9.366824590088177,8.377773010631033,184.0,1,1,1,0.5,0.00015053036793155755,0.0002997920873827331
3.0000000000000013,4.000000000000002,0.0,11.999999999999973,0.1,6.083393919759357,7.983550399641322,185.0,1,1,1,0.5,4.815093826559071e-13,7.685493646060021e-13
4.000000000000002,4.000000000000002,0.0,9.99999999999998,0.1,4.035843782861277,9.869712598351944,184.0,1,0,1,0.5,0.005041015044175915,0.09224176948822152
4.000000000000002,4.999999999999998,0.0,10.999999999999977,0.1,4.852707284248539,5.480840803955229,227.0,1,1,1,0.5,0.003877607727232612,0.02202842805941553
3.700000000000002,12.99999999999997,0.0,9.99999999999998,0.1,3.980687082911451,7.127182457667266,234.0,1,0,1,0.5,0.00018948166773734125,0.001714736275858563
4.000000000000002,2.0000000000000004,4.000000000000002,10.999999999999977,0.1,8.814404203317322,6.22098323803899,242.0,1,1,1,0.5,0.06649016653603991,0.4830891394440876
0.9999999999999999,2.0000000000000004,0.0,10.999999999999977,0.1,6.536504876861388,5.064138981327816,238.0,1,1,1,0.5,8.295960734799028,8.962539741465086
4.000000000000002,2.0000000000000004,4.000000000000002,10.999999999999977,0.1,4.44723732704986,9.161348797016766,242.0,0,1,0,0.5,0.6549030268847907,5.09249950877849
0.9999999999999999,3.0000000000000013,0.0,10.999999999999977,0.1,5.693897193196039,6.253292231543935,239.0,1,1,1,0.5,4.2090697826610988e-22,3.010299456054571e-22
4.000000000000002,4.000000000000002,0.0,10.999999999999977,0.1,4.255846706637185,6.551921538061794,254.0,1,1,1,0.5,1.1700288604805753e-7,7.84619690897935e-7
2.0000000000000004,2.0000000000000004,0.0,10.999999999999977,0.1,2.4093423571663024,6.184017385805356,282.0,1,1,1,0.5,0.020757635339495498,0.07460343278154272
2.0000000000000004,3.0000000000000013,0.0,10.999999999999977,0.1,3.4620987900147027,5.771889858197099,299.0,1,1,1,0.5,2.595775492320052e-10,3.771446935488499e-10
0.9999999999999999,0.9999999999999999,0.0,10.999999999999977,0.1,1.9226811874019316,8.16896236301018,325.0,1,1,1,0.5,0.00023308957113218933,0.0015576082729347887
1.9000000000000006,4.000000000000002,4.000000000000002,10.999999999999977,0.1,4.554489880575587,5.8509605490489305,386.0,0,1,0,0.5,1.4232077748008374e-5,2.3533140234303085e-5
2.0000000000000004,4.000000000000002,0.0,10.999999999999977,0.1,3.8462133242435455,7.647644585107023,382.0,1,1,1,0.5,1.5381251760816528,1.7049320283190839
2.600000000000001,6.999999999999991,0.0,10.999999999999977,0.1,2.3895510416377417,7.397911356392321,397.0,0,1,0,0.5,0.0006953619269459088,0.003911962489372905
4.000000000000002,6.999999999999991,13.999999999999966,0.0,0.1,3.096850970423654,7.496357583141453,400.0,1,0,1,0.5,2.333958806715564,39.366031186143175
2.0000000000000004,4.000000000000002,0.0,9.99999999999998,0.1,6.327821499149775,9.071034666536928,477.0,1,0,1,0.5,3.1167261313006293e-16,4.320936881485813e-15
2.0000000000000004,3.0000000000000013,0.0,10.999999999999977,0.1,3.806328880243627,8.112607679522993,482.0,1,1,1,0.5,0.00011512656562249628,0.0002646817258811662
2.0000000000000004,4.000000000000002,0.0,9.99999999999998,0.1,11.583512094680623,7.281549232327871,521.0,1,0,1,0.5,0.00019659013855760843,0.0007912752562915348
0.9999999999999999,4.000000000000002,0.0,9.99999999999998,0.1,3.1315531300663473,5.581855133069512,547.0,1,0,1,0.5,3.8370969915229285,6.336561961804387
